Fa,Id#,ip,ip2,sub,gate,central,bcentral,room,deviceu
1,210,10.140.217.,16,255.255.255.240,10.240.217.17,192.168.32.250,192.168.40.250,N224,147
2,211,10.140.209.,16,255.255.255.240,10.140.209.17,192.168.32.174,192.168.40.174,N222,150
3,212,10.140.201.,16,255.255.255.240,10.140.201.17,192.168.32.254,192.168.40.254,N220,154
4,213,10.140.193.,16,255.255.255.240,10.140.193.17,192.168.33.2,192.168.41.2,N217,152
5,214,10.140.185.,16,255.255.255.240,10.140.185.17,192.168.33.6,192.168.41.6,N215,103
6,215,10.140.177.,16,255.255.255.240,10.140.177.17,192.168.33.10,192.168.41.10,N213,133
7,216,10.140.169.,16,255.255.255.240,10.140.169.17,192.168.33.14,192.168.41.14,N210,100
8,360,10.206.145.,16,255.255.255.240,10.206.145.17,192.168.32.26,192.168.40.26,R423,138
9,361,10.206.137.,16,255.255.255.240,10.206.137.17,192.168.32.30,192.168.40.30,R422,101
10,362,10.206.129.,16,255.255.255.240,10.206.129.17,192.168.32.34,192.168.40.34,R421,142
11,363,10.206.121.,16,255.255.255.240,10.206.121.17,192.168.32.38,192.168.40.38,R420,151
12,364,10.206.113.,16,255.255.255.240,10.206.113.17,192.168.32.42,192.168.40.42,R419,153
13,365,10.206.105.,16,255.255.255.240,10.206.105.17,192.168.32.46,192.168.40.46,R418,157
14,366,10.206.97.,16,255.255.255.240,10.206.97.17,192.168.32.158,192.168.40.158,R417,159
15,367,10.206.89.,16,255.255.255.240,10.206.89.17,192.168.32.50,192.168.40.50,R416,143
16,368,10.206.81.,16,255.255.255.240,10.206.81.17,192.168.32.54,192.168.40.54,R415,105
17,369,10.206.73.,16,255.255.255.240,10.206.73.17,192.168.32.58,192.168.40.58,R414,127
18,370,10.206.65.,16,255.255.255.240,10.206.65.17,192.168.32.62,192.168.40.62,R413,121
19,371,10.206.153.,16,255.255.255.240,10.206.153.17,192.168.32.66,192.168.40.66,R412,125
20,416,10.140.113.,16,255.255.255.240,10.140.113.17,192.168.32.162,192.168.40.162,R336,137
21,417,10.141.49.,16,255.255.255.240,10.141.49.17,192.168.32.114,192.168.40.114,R335,140
22,418,10.141.41.,16,255.255.255.240,10.141.41.17,192.168.32.118,192.168.40.118,R334,183
23,419,10.141.33.,16,255.255.255.240,10.141.33.17,192.168.32.122,192.168.40.122,R333,144
24,420,10.141.25.,16,255.255.255.240,10.141.25.17,192.168.32.126,192.168.40.126,R332,149
25,421,10.140.105.,16,255.255.255.240,10.140.105.17,192.168.32.130,192.168.40.130,R331,156
26,422,10.140.17.,16,255.255.255.240,10.140.17.17,192.168.32.134,192.168.40.134,R330,158
27,423,10.140.241.,16,255.255.255.240,10.140.241.17,192.168.32.138,192.168.40.138,R329,155
28,424,10.140.233.,16,255.255.255.240,10.140.233.17,192.168.32.142,192.168.40.142,R328,102
29,425,10.140.225.,16,255.255.255.240,10.140.225.17,192.168.32.146,192.168.40.146,R326,122
30,427,10.140.33.,16,255.255.255.240,10.140.33.17,192.168.32.150,192.168.40.150,R323,124
31,428,10.140.41.,16,255.255.255.240,10.140.41.17,192.168.32.154,192.168.40.154,R322,110
32,442,10.140.121.,64,255.255.255.240,10.140.121.65,192.168.32.94,192.168.40.94,R730,181
33,443,10.141.65.,48,255.255.255.240,10.141.65.49,192.168.32.98,192.168.40.98,R729,141
34,444,10.140.129.,64,255.255.255.240,10.140.129.65,192.168.32.102,192.168.40.102,R728,139
35,445,10.141.57.,64,255.255.255.240,10.141.57.65,192.168.32.106,192.168.40.106,R727,145
36,446,10.140.137.,64,255.255.255.240,10.140.137.65,192.168.32.110,192.168.40.110,R726,149